feature,coef
celebrity_homestate_New Hamshire,-0.7890735264027778
ballroom_partner_Charlotte Jorgensen,-0.7924814322243269
ballroom_partner_Jenna Johnson,-0.794312283268277
ballroom_partner_Julianne Hough,-0.8264269750301294
celebrity_homestate_North Carolina,-0.8477753124627856
celebrity_homestate_Kentucky,-0.8523751652327026
ballroom_partner_Edyta Sliwinska,-0.8578337116881019
ballroom_partner_Britt Stewart,-0.8627317153670222
celebrity_homestate_South Dakota,-0.8956097499100718
ballroom_partner_Alec Mazo,-0.9455053640822096
ballroom_partner_Keo Motsepe,-0.9579090584354994
ballroom_partner_Brian Fortuna,-0.959081410068812
celebrity_industry_Beauty Pagent,-0.9590814100688205
celebrity_homecountry/region_United States,-0.9783150228496948
ballroom_partner_Chelsie Hightower,-0.9982756797749689
celebrity_homecountry/region_England,-1.0563023942028604
ballroom_partner_Kym Herjavec,-1.0649026963869475
ballroom_partner_Koko Iwasaki,-1.075274480394986
celebrity_industry_Model,-1.0925396018823603
ballroom_partner_Lacey Schwimmer,-1.0992566634233571
celebrity_homecountry/region_Chile,-1.1243541885542307
celebrity_homestate_New Mexico,-1.168379040644512
celebrity_industry_Entrepreneur,-1.1725270419903229
ballroom_partner_Ezra Sosa,-1.208621727123388
celebrity_industry_Con artist,-1.208621727123404
celebrity_homecountry/region_Russia,-1.2096583473599842
celebrity_homecountry/region_Spain,-1.23562919197009
celebrity_industry_Sports Broadcaster,-1.2622326469317544
celebrity_industry_Journalist,-1.341952499127292
ballroom_partner_Inna Brayer,-1.341954411632792
ballroom_partner_Anna Demidova,-1.393070035991605
celebrity_homestate_Alaska,-1.4184589527734186
ballroom_partner_Tyne Stecklein,-1.458680503379726
celebrity_industry_Politician,-1.4794817524750536
celebrity_homecountry/region_Czechoslovakia,-1.5020093763160232
celebrity_homecountry/region_Germany,-1.5482383864294458
celebrity_homecountry/region_Mexico,-1.6061937747074486
celebrity_homecountry/region_Australia,-1.662188821991212
celebrity_homecountry/region_Venezuela,-1.7163731888021951
ballroom_partner_Jan Ravnik,-1.9247429465075567
celebrity_homecountry/region_Taiwan China,-2.169964742614485
celebrity_industry_Magician,-2.2234953572394813
celebrity_homecountry/region_Italy,-2.26448319091453
ballroom_partner_Ashly DelGrosso,-2.3404557516520894
celebrity_homecountry/region_South Africa,-2.6491234689478924
ballroom_partner_Elena Grinenko,-2.9982691196777687
ballroom_partner_Andrea Hale,-3.0209892789482713
celebrity_homecountry/region_Yugoslavia,-3.708418881733987
