season,week,scheme,eliminated_count,spearman_corr,kendall_tau,elimination_pressure
1,2,rank,1,-0.7142857142857143,-0.4666666666666667,3.0
1,3,rank,1,-0.6,-0.4,5.0
1,4,rank,1,0.7999999999999999,0.6666666666666666,1.0
1,5,rank,1,-0.5,-0.3333333333333333,3.0
2,1,rank,1,-0.23708316203522517,-0.22727272727272727,8.0
2,2,rank,1,0.09205101496312953,0.02857142857142857,7.0
2,3,rank,1,-0.14458880781356398,-0.07692307692307693,4.5
2,4,rank,1,-0.16216874328520064,-0.1,6.5
2,5,rank,1,0.3142857142857143,0.2,6.0
2,6,rank,1,0.31622776601683794,0.25,4.0
2,7,rank,1,0.21081851067789195,0.2,2.0
3,1,percent,1,0.2004561009344103,0.4,0.11415094339622642
3,2,percent,1,-0.1797604789358163,-0.1724137931034483,0.10821256038647342
3,3,percent,1,-0.555816032958077,-0.6666666666666666,0.12258454106280192
3,4,percent,1,-0.5590169943749473,-0.625,0.1385281385281385
3,5,percent,2,-0.20672455764868075,-0.2857142857142857,0.16657458563535915
3,7,percent,1,0.36273812505500586,0.5,0.2433796296296296
3,8,percent,1,0.8164965809277261,1.0,0.3325871559633028
3,9,percent,1,,0.0,0.0004999999999999449
4,2,percent,1,0.32622714265801234,0.45454545454545453,0.09836734693877551
4,3,percent,1,0.28840315127563154,0.3684210526315789,0.10805300713557593
4,4,percent,1,0.1841149235796647,0.23076923076923078,0.12434210526315788
4,5,percent,1,0.24743582965269675,0.42857142857142855,0.14044155844155845
4,6,percent,1,0.09940534656094302,0.06666666666666667,0.16078431372549018
4,7,percent,1,-0.17407765595569782,-0.1111111111111111,0.19546925566343037
4,8,percent,1,0.35355339059327373,0.5,0.24210657370517927
4,9,percent,1,0.3333333333333334,0.2,0.1830323488045007
5,1,percent,1,0.04536870109944867,0.14285714285714285,0.097600282985497
5,2,percent,1,-0.49719803132448265,-0.6521739130434783,0.09621848739495799
5,3,percent,1,0.17677669529663687,0.3333333333333333,0.11059042305904229
5,4,percent,1,-0.5669467095138409,-0.8461538461538461,0.12446581196581198
5,5,percent,1,-0.16695677422593644,-0.3333333333333333,0.14285714285714285
5,6,percent,1,-0.21869176243407465,-0.14285714285714285,0.16203703703703703
5,7,percent,1,0.39852669849304295,0.6,0.19960512820512818
5,8,percent,1,-0.6668859288553501,-0.5555555555555556,0.24714828897338403
5,9,percent,1,-0.3333333333333334,-0.2,0.33048433048433046
6,2,percent,2,0.24989557729234235,0.3103448275862069,0.007782101167315182
6,3,percent,1,-0.5622535302317493,-0.7647058823529411,0.11013645224171538
6,4,percent,1,-0.13987572123604708,-0.25,0.12370833333333331
6,5,percent,1,0.16695677422593644,0.3333333333333333,0.14224489795918366
6,6,percent,1,-0.20597146021777488,-0.3333333333333333,0.16466666666666668
6,7,percent,1,0.25724787771376323,0.25,0.19676375404530747
6,8,percent,1,-0.41039134083406165,-0.3333333333333333,0.24625468164794004
6,9,percent,1,-0.2581988897471611,-0.3333333333333333,0.3296363636363636
7,1,percent,2,-0.040628509022400346,-0.07692307692307693,0.0257936507936508
7,2,percent,2,-0.5221292067065089,-0.5238095238095238,0.01809954751131221
7,4,percent,1,0.13987572123604708,0.3333333333333333,0.1247272167487685
7,5,percent,1,-0.1391306451882804,-0.2,0.1413919413919414
7,6,percent,1,0.6179143806533246,1.0,0.161
7,7,percent,1,-0.5852390484520126,-0.5,0.19319727891156466
7,8,percent,1,0.5441071875825088,1.0,0.25
7,9,percent,1,0.8164965809277261,1.0,0.329592039800995
8,2,percent,1,-0.5814595050283117,-0.7368421052631579,0.08144654088050314
8,3,percent,1,-0.7222996333098559,-1.0,0.08840372226199
8,4,percent,2,0.2564823861536453,0.3076923076923077,0.016528925619834704
8,5,percent,1,-0.9166984970282114,-1.0,0.1208333333333333
8,6,percent,1,-0.16594796272900444,-0.3333333333333333,0.14218125960061445
8,7,percent,1,-0.10298573010888744,-0.2,0.1644835164835165
8,8,percent,1,-0.6859943405700354,-0.7777777777777778,0.19679487179487185
8,9,percent,1,0.0,0.0,0.24438202247191015
8,10,percent,1,-0.632455532033676,-0.6,0.3226544901065449
9,1,percent,2,0.5756395979652218,1.0,0.0
9,2,percent,1,-0.17531145449334407,-0.45454545454545453,0.07692307692307693
9,3,percent,2,0.13465308401406975,0.22580645161290322,0.007751937984496131
9,4,percent,1,-0.7624541989719473,-1.0,0.09917355371900825
9,5,percent,1,-0.23717082451262847,-0.29411764705882354,0.11065197428833794
9,6,percent,2,0.11952286093343938,0.2,3.84616715976005e-07
9,7,percent,2,0.3090909090909091,0.1,0.06139601139601138
9,8,percent,1,-0.36273812505500586,-0.5,0.25
9,9,percent,1,-0.7999999999999999,-0.6666666666666666,0.32291579752305394
10,2,percent,1,-0.6234990616247712,-0.6410256410256411,0.09181818181818181
10,3,percent,1,0.23644230071063624,0.5,0.11096332785987958
10,4,percent,1,-0.09128709291752768,-0.06666666666666667,0.1246630727762803
10,5,percent,1,0.3318959254580089,0.6666666666666666,0.14076961189099915
10,6,percent,1,0.408248290463863,0.6666666666666666,0.16678422655004113
10,7,percent,1,0.5222329678670935,0.5555555555555556,0.1987138263665595
10,8,percent,1,0.7254762501100117,1.0,0.2491551383399209
10,9,percent,1,0.8164965809277261,1.0,0.3283657817109145
11,1,percent,1,0.3979419194568437,1.0,0.0909090909090909
11,2,percent,1,0.20278435671200776,0.4,0.09744932126696833
11,3,percent,1,0.23644230071063624,0.5,0.11119155354449473
11,4,percent,1,0.13693063937629152,0.25,0.1237981843575419
11,5,percent,1,-0.46649810495618393,-0.4444444444444444,0.13971742543171117
11,6,percent,1,0.1785714285714286,0.14285714285714285,0.1497588800219775
11,7,percent,1,-0.03080205518168487,0.09090909090909091,0.1971223021582734
11,8,percent,1,-0.45883146774112354,-0.42857142857142855,0.24905660377358493
11,9,percent,1,-0.632455532033676,-0.6,0.32748538011695916
12,2,percent,1,-0.20422086361936864,-0.4,0.09999999999999999
12,3,percent,1,0.05929733891373501,0.14285714285714285,0.10892004153686397
12,4,percent,1,-0.606128125356204,-0.8571428571428571,0.12317961165048545
12,5,percent,1,0.43355498476206,1.0,0.14285714285714285
12,6,percent,1,0.41194292043554975,0.6666666666666666,0.16494444444444442
12,7,percent,1,-0.015891043154093204,0.0,0.19893899204244028
12,8,percent,1,0.8944271909999157,1.0,0.24423076923076925
12,9,percent,1,0.7745966692414834,1.0,0.3255319148936171
13,1,percent,1,0.3951196007232274,0.8181818181818182,0.09224465856723922
13,2,percent,1,-0.7795235941668963,-0.8333333333333334,0.09461883408071749
13,3,percent,1,-0.6961521903491162,-0.7777777777777778,0.10642287857477732
13,4,percent,1,-0.3730019232961255,-0.4666666666666667,0.1244019138755981
13,5,percent,1,-0.3339135484518729,-0.6666666666666666,0.14206686930091186
13,6,percent,1,0.0,0.0,0.16569076305220887
13,7,percent,1,-0.16903085094570333,-0.1111111111111111,0.19795221843003413
13,8,percent,1,-0.18136906252750293,-0.3333333333333333,0.24327702702702705
13,9,percent,1,-0.7745966692414834,-1.0,0.32420434404083276
14,2,percent,1,-0.2634130671488183,-0.6,0.09070767151064547
14,3,percent,1,-0.4205762976090697,-0.8,0.10000000000000002
14,4,percent,1,-0.23717082451262847,-0.3333333333333333,0.1106342393896042
14,5,percent,1,-0.48330167439661975,-1.0,0.12492857142857142
14,6,percent,1,-0.24743582965269675,-0.42857142857142855,0.14121742855227015
14,7,percent,1,-0.4719399037242695,-0.6,0.164850136239782
14,8,percent,2,-0.05882352941176471,-0.14285714285714285,0.1652905198776759
14,9,percent,1,0.19999999999999998,0.0,0.21397101449275358
15,1,percent,1,-0.3884354255876248,-0.8333333333333334,0.08948327305605788
15,2,percent,1,-0.5363023880115031,-0.5789473684210527,0.088768115942029
15,3,percent,2,-0.5059794518797261,-0.5319148936170213,0.05539568345323742
15,4,percent,1,-0.1375047745542317,-0.14285714285714285,0.12422239502332813
15,6,percent,1,-0.5575859980003354,-0.52,0.13400758533501897
15,8,percent,2,-0.18018749253911182,-0.3,0.16895699161068944
15,9,percent,2,0.3,0.2,0.21142555622458775
16,2,percent,1,-0.044375105448780816,-0.1111111111111111,0.09064381520119225
16,3,percent,1,0.10139217835600388,0.25,0.09985532639204492
16,4,percent,1,-0.058560697410525546,-0.1111111111111111,0.1111111111111111
16,5,percent,1,0.20712928902712277,0.42857142857142855,0.125
16,6,percent,1,0.0,0.0,0.14281470253884046
16,7,percent,1,0.2041241452319315,0.3333333333333333,0.16037681159420292
16,8,percent,1,0.39279220242478635,0.6,0.19649260450160771
16,9,percent,1,0.7254762501100117,1.0,0.2466843971631205
17,2,percent,1,-0.11930999725437871,-0.14285714285714285,0.09056732740943269
17,3,percent,1,0.4573345925878173,1.0,0.10000000000000002
17,4,percent,1,0.5477225575051661,1.0,0.11043600562587905
17,5,percent,1,0.24454381633628414,0.14285714285714285,0.11595744680851063
17,7,percent,1,0.055555555555555546,0.06666666666666667,0.14124475975491776
17,8,percent,1,-0.5216720300383332,-0.4666666666666667,0.1623263888888889
17,9,percent,1,-0.9411764705882354,-0.8571428571428571,0.18539682539682537
17,10,percent,1,-0.22360679774997894,-0.14285714285714285,0.24642857142857144
18,1,percent,1,0.4798081151232537,0.7894736842105263,0.08986814712005553
18,2,percent,2,0.5791078083211593,1.0,0.024590163934426222
18,5,percent,1,-0.552344770738994,-0.7333333333333333,0.12267080745341616
18,6,percent,1,-0.16695677422593644,-0.3333333333333333,0.14285714285714285
18,7,percent,1,0.0,0.0,0.16640513833992096
18,8,percent,1,-0.8000000000000002,-0.6363636363636364,0.19469026548672566
18,9,percent,1,0.0,0.0,0.2473821989528796
19,1,percent,1,-0.13157894736842107,-0.18181818181818182,0.08288530465949823
19,2,percent,1,-0.24120907566221086,-0.4117647058823529,0.08990457056755399
19,3,percent,1,0.2534804458900097,0.5555555555555556,0.10016572237960339
19,4,percent,1,0.047940707594411956,0.034482758620689655,0.10763888888888891
19,6,percent,1,-0.24980732174401604,-0.30434782608695654,0.12073378839590444
19,7,percent,1,-0.10910894511799621,-0.07692307692307693,0.14202818458137606
19,8,percent,1,0.2041241452319315,0.3333333333333333,0.16412903225806452
19,9,percent,1,-0.17149858514250885,-0.1111111111111111,0.19392523364485978
19,10,percent,1,-0.6708203932499368,-0.7142857142857143,0.2417191780821918
20,2,percent,1,-0.540925833555975,-0.5319148936170213,0.08278752947340844
20,3,percent,1,0.2009153365899782,0.4,0.1
20,4,percent,1,0.14254321496279643,0.25,0.1094017094017094
20,5,percent,1,-0.6689936080056725,-0.6666666666666666,0.1223498233215548
20,6,percent,1,-0.44172610429938625,-0.6363636363636364,0.1426047450782433
20,7,percent,1,-0.9629629629629631,-0.8947368421052632,0.15288713910761154
20,8,percent,2,0.27774602993176545,0.2727272727272727,0.004728132387706863
20,9,percent,1,-0.632455532033676,-0.6,0.2789639065817411
21,4,percent,1,0.528680532637681,1.0,0.11069679849340866
21,6,percent,1,0.3496893030901177,0.7142857142857143,0.12279432907348244
21,7,percent,1,0.24683544303797472,0.2,0.14027149321266968
21,8,percent,1,0.20597146021777488,0.3333333333333333,0.16598901938184688
21,9,percent,2,-0.11595420713048968,-0.2857142857142857,0.1834346504559271
22,2,percent,1,0.4022911406409068,0.8181818181818182,0.09065639445300464
22,3,percent,1,0.5069608917800194,1.0,0.09963881856540086
