feature,vif
celebrity_homestate_Tennessee,1.3330124064939939
celebrity_homestate_New Mexico,1.3224270453285334
celebrity_homestate_Wisconsin,1.3212277007545263
ballroom_partner_Elena Grinenko,1.3206299801227441
celebrity_homestate_New Hamshire,1.3145943395009654
celebrity_homestate_West Virginia,1.2773073431687327
ballroom_partner_Anna Demidova,1.2757702247605192
ballroom_partner_Fabian Sanchez,1.272149725861413
ballroom_partner_Tyne Stecklein,1.2648174583805971
celebrity_industry_Military,1.264498266299998
ballroom_partner_Daniella Karagach (Rumer Willis week 9),1.2587568213247313
ballroom_partner_Koko Iwasaki,1.214049555333471
celebrity_industry_Politician,1.197599804226571
celebrity_industry_News Anchor,1.1836413467957587
celebrity_industry_Fashion Designer,1.1805099456048602
ballroom_partner_Val Chmerkovskiy,1.1792352882030452
celebrity_homestate_South Dakota,1.1732496678047075
celebrity_industry_Fitness Instructor,1.170747015121737
ballroom_partner_Kym Herjavec,1.1554273333320577
celebrity_industry_Musician,1.1384355433254567
week,1.1239520919212864
celebrity_industry_Magician,1.114686854009737
celebrity_industry_Journalist,1.0738399587289091
ballroom_partner_Inna Brayer,1.0352811366255046
ballroom_partner_Henry Byalikov,1.0336672189150033
