feature,coef_judge,se_robust_judge,t_robust_judge,coef_fan,se_robust_fan,t_robust_fan,direction_same,diff,diff_se,diff_t,diff_p
celebrity_homecountry/region_New Zealand,0.7534353924969522,0.07856517078451462,9.589941509367355,2.846768554669104,1.1508837384649266,2.473550072456654,True,-2.0933331621721516,1.1535622503893779,-1.8146685724724088,0.06957485751567538
ballroom_partner_Charlotte Jorgensen,0.5216002665004568,,,-0.30921019636741687,,,False,0.8308104628678736,,,
celebrity_homestate_Maine,0.3226417224256489,189986.32064606683,1.698236595816344e-06,1.459312743006328,214471.5319744456,6.8042258549270115e-06,True,-1.1366710205806791,286518.48118419125,-3.967182207174828e-06,0.9999968346465671
ballroom_partner_Val Chmerkovskiy,0.2077008403622871,0.047712830612735666,4.353144378460893,-0.40872640425295503,0.5446600032760238,-0.7504248554961725,False,0.6164272446152421,0.5467458581221424,1.1274474885505819,0.2595533304994688
celebrity_homestate_Tennessee,0.18343886453702807,0.0729085876266494,2.516011769098897,0.6724316625899129,1.7717304937510319,0.37953383144987785,True,-0.48899279805288487,1.7732299920306411,-0.2757638886385558,0.782729421296525
celebrity_industry_Musician,0.15113643451389092,0.060181433272739275,2.5113465448545913,1.4014266123214187,0.3787325660659694,3.700306595967012,True,-1.250290177807528,0.38348423893254735,-3.2603430620454956,0.0011127752984503303
week,0.13202707892411414,0.0004901838341126803,269.34196873935383,0.014362521204989251,0.019586000803488286,0.7333054536805325,True,0.11766455771912489,0.01959213382114029,6.0057040643609,1.9050339084003554e-09
celebrity_homestate_Indiana,0.12602239018999772,0.09716099550804992,1.2970471281303062,-1.6067112956943757,1.325887952266088,-1.211800207512505,False,1.7327336858843734,1.3294431620089953,1.3033529641582746,0.19245428675397336
celebrity_homestate_Colorado,0.10908506254316006,0.07043633368639561,1.5487044375256749,-0.5224084129058524,1.4054267117009736,-0.37170804322737455,False,0.6314934754490125,1.4071906477324927,0.4487618479177525,0.6536034635252563
ballroom_partner_Jenna Johnson,0.08168269346465869,0.07056867234525155,1.157492280215117,-1.2344921971161251,0.6403096261497362,-1.9279613279270607,False,1.3161748905807837,0.6441865838843482,2.0431578730566646,0.041036812463532524
celebrity_homestate_Mississippi,0.0739630694771013,0.05197645437956281,1.4230110606810387,0.8379451899930572,0.7848869427712241,1.0675998597129146,True,-0.7639821205159559,0.7866060416387796,-0.9712385617129383,0.3314294953342001
celebrity_industry_News Anchor,0.0723914243365848,0.05589043434614594,1.295238177757635,0.8232583577771441,0.3292353864673495,2.50051601867768,True,-0.7508669334405593,0.3339456248458809,-2.2484706418510245,0.024546195087570055
celebrity_homestate_Massachusetts,0.06673083506421337,0.05977684548627722,1.1163324949880895,0.848409898803399,0.6219489100491172,1.3641150986765094,True,-0.7816790637391856,0.6248149469783635,-1.2510569209642388,0.21091371104083878
celebrity_homestate_Utah,0.0616608303307901,0.0590582374769775,1.044068244583614,2.046570199099368,0.6799057730312884,3.0100791613740094,True,-1.984909368768578,0.6824659226768476,-2.908437334106199,0.003632399681630094
celebrity_homestate_Wisconsin,0.05863667138350112,0.06257362022780966,0.937082929995493,-0.70636616733455,1.3390026370106098,-0.527531572985956,False,0.7650028387180512,1.3404639196449046,0.5707000595142495,0.568202978448404
celebrity_industry_Journalist,0.053299387725014746,0.06695448802092518,0.796053995788261,0.4058434757586695,1.0187874180194867,0.3983593324578208,True,-0.3525440880336548,1.0209851647212884,-0.3452979535994466,0.7298703849659083
ballroom_partner_Brandon Armstrong,0.05113346841134246,0.051140774102838495,0.9998571454651558,-0.6900582269404142,0.4942202130038194,-1.3962565851896498,False,0.7411916953517567,0.4968591326697922,1.4917541947333903,0.13576359597639875
celebrity_homestate_Oregon,0.04866527531557312,0.12286793248526087,0.3960779214821651,0.6498968089100554,0.7871044676131933,0.825680498143779,True,-0.6012315335944823,0.7966366623309846,-0.7547123576201721,0.4504215901447428
celebrity_homestate_Connecticut,0.03459255231610184,0.049558430251888906,0.6980154968645996,0.5797664684037681,0.5624130444870468,1.030855301253812,True,-0.5451739160876663,0.5645923047812644,-0.9656063525323442,0.33424119537483077
ballroom_partner_Pasha Pashkov,0.033388501255704986,0.05204080573149703,0.6415830959261459,-0.5609794396570595,0.39576682629731286,-1.4174493726657968,False,0.5943679409127646,0.39917367931594744,1.4889958223982,0.13648846882088517
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.033327546915578384,0.051335119459421465,0.6492153376972775,0.3890329236379877,0.4025375024100938,0.9664513773468292,True,-0.3557053767224093,0.4057976531924123,-0.876558486536512,0.38072649587128193
celebrity_homestate_Georgia,0.029586661030478224,0.03975091883355497,0.7443013117347923,0.7767266591595694,0.45499789510509203,1.7070994558780692,True,-0.7471399981290912,0.45673101503858504,-1.6358424839310992,0.10187255801972572
ballroom_partner_Sasha Farber,0.026575992295878648,0.04489712767031951,0.5919307910079834,-0.7063889140845885,0.46306561193173307,-1.5254618263226316,False,0.7329649063804671,0.46523705035901364,1.575465466077677,0.11514904362670508
celebrity_homecountry/region_Brazil,0.023710561964602236,0.08548925432989216,0.27735137182395103,0.07156635213502238,0.6623322542943141,0.1080520413599262,True,-0.047855790170420145,0.6678266449344986,-0.07165900092997024,0.9428732847593868
celebrity_homestate_Pennsylvania,0.01882623734468758,0.049021446026287184,0.3840408407086202,1.15115930588951,0.46958331661681973,2.4514484760302007,True,-1.1323330685448223,0.47213514316915717,-2.3983240496442533,0.01647028722331778
