season,celebrity_name,rule,predicted_placement,placement
6,Marlee Matlin,percent,7,7
6,Shannon Elizabeth,percent,6,6
6,Mario,percent,5,5
6,Marissa Jaret Winokur,percent,4,4
6,Jason Taylor,percent,1,2
6,Cristian de la Fuente,percent,1,3
6,Kristi Yamaguchi,percent,1,1
7,Jeffrey Ross,fair,13,13
7,Ted McGinley,fair,12,12
7,Kim Kardashian,fair,11,11
7,Misty May-Treanor,fair,10,10
7,Rocco DiSpirito,fair,9,9
7,Toni Braxton,fair,8,8
7,Cloris Leachman,fair,7,7
7,Susan Lucci,fair,6,6
7,Maurice Greene,fair,5,5
7,Cody Linley,fair,4,4
7,Brooke Burke,fair,1,1
7,Lance Bass,fair,1,3
7,Warren Sapp,fair,1,2
7,Ted McGinley,rank,13,12
7,Jeffrey Ross,rank,12,13
7,Misty May-Treanor,rank,11,10
7,Kim Kardashian,rank,10,11
7,Rocco DiSpirito,rank,9,9
7,Toni Braxton,rank,8,8
7,Cloris Leachman,rank,7,7
7,Susan Lucci,rank,6,6
7,Maurice Greene,rank,5,5
7,Cody Linley,rank,4,4
7,Brooke Burke,rank,1,1
7,Lance Bass,rank,1,3
7,Warren Sapp,rank,1,2
7,Jeffrey Ross,percent,13,13
7,Ted McGinley,percent,12,12
7,Kim Kardashian,percent,11,11
7,Misty May-Treanor,percent,10,10
7,Rocco DiSpirito,percent,9,9
7,Toni Braxton,percent,8,8
7,Cloris Leachman,percent,7,7
7,Susan Lucci,percent,6,6
7,Maurice Greene,percent,5,5
7,Cody Linley,percent,4,4
7,Brooke Burke,percent,1,1
7,Lance Bass,percent,1,3
7,Warren Sapp,percent,1,2
8,Belinda Carlisle,fair,13,13
8,Denise Richards,fair,12,12
8,Steve Wozniak,fair,11,10
8,Holly Madison,fair,10,11
8,David Alan Grier,fair,9,9
8,Steve-O,fair,8,8
8,Lawrence Taylor,fair,7,7
8,Chuck Wicks,fair,6,6
8,Lil' Kim,fair,5,5
8,Ty Murray,fair,4,4
8,Gilles Marini,fair,1,2
8,Melissa Rycroft,fair,1,3
8,Shawn Johnson,fair,1,1
8,Belinda Carlisle,rank,13,13
8,Denise Richards,rank,12,12
8,Holly Madison,rank,11,11
8,Steve Wozniak,rank,10,10
8,David Alan Grier,rank,9,9
8,Steve-O,rank,8,8
8,Lawrence Taylor,rank,7,7
8,Chuck Wicks,rank,6,6
8,Lil' Kim,rank,5,5
8,Ty Murray,rank,4,4
8,Gilles Marini,rank,1,2
8,Melissa Rycroft,rank,1,3
8,Shawn Johnson,rank,1,1
8,Belinda Carlisle,percent,13,13
8,Denise Richards,percent,12,12
8,Steve Wozniak,percent,11,10
8,Holly Madison,percent,10,11
8,David Alan Grier,percent,9,9
8,Steve-O,percent,8,8
8,Lawrence Taylor,percent,7,7
8,Chuck Wicks,percent,6,6
8,Lil' Kim,percent,5,5
8,Ty Murray,percent,4,4
8,Gilles Marini,percent,1,2
8,Melissa Rycroft,percent,1,3
8,Shawn Johnson,percent,1,1
9,Ashley Hamiliton,fair,16,16
9,Macy Gray,fair,15,15
9,Kathy Ireland,fair,14,14
9,Tom DeLay,fair,13,13
9,Debi Mazar,fair,12,12
9,Chuck Liddell,fair,11,11
9,Natalie Coughlin,fair,10,10
9,Melissa Joan Hart,fair,9,9
9,Louie Vito,fair,8,8
9,Mark Dacascos,fair,7,6
9,Michael Irvin,fair,6,7
9,Aaron Carter,fair,5,5
9,Joanna Krupa,fair,4,4
9,Donny Osmond,fair,1,1
9,Mya,fair,1,2
9,Kelly Osbourne,fair,1,3
9,Ashley Hamiliton,rank,16,16
9,Macy Gray,rank,15,15
9,Kathy Ireland,rank,14,14
9,Debi Mazar,rank,13,12
9,Tom DeLay,rank,12,13
9,Chuck Liddell,rank,11,11
9,Natalie Coughlin,rank,10,10
9,Louie Vito,rank,9,8
9,Melissa Joan Hart,rank,8,9
9,Michael Irvin,rank,7,7
9,Mark Dacascos,rank,6,6
9,Aaron Carter,rank,5,5
9,Joanna Krupa,rank,4,4
9,Donny Osmond,rank,1,1
9,Mya,rank,1,2
9,Kelly Osbourne,rank,1,3
9,Ashley Hamiliton,percent,16,16
9,Macy Gray,percent,15,15
9,Kathy Ireland,percent,14,14
9,Tom DeLay,percent,13,13
9,Debi Mazar,percent,12,12
9,Chuck Liddell,percent,11,11
9,Natalie Coughlin,percent,10,10
9,Melissa Joan Hart,percent,9,9
9,Louie Vito,percent,8,8
9,Mark Dacascos,percent,7,6
9,Michael Irvin,percent,6,7
9,Aaron Carter,percent,5,5
9,Joanna Krupa,percent,4,4
9,Donny Osmond,percent,1,1
9,Mya,percent,1,2
9,Kelly Osbourne,percent,1,3
10,Shannen Doherty,fair,11,11
10,Buzz Aldrin,fair,10,10
10,Aiden Turner,fair,9,9
10,Kate Gosselin,fair,8,8
10,Jake Pavelka,fair,7,7
10,Pamela Anderson,fair,6,6
10,Niecy Nash,fair,5,5
10,Chad Ochocinco,fair,4,4
10,Nicole Scherzinger,fair,1,1
10,Evan Lysacek,fair,1,2
10,Erin Andrews,fair,1,3
10,Shannen Doherty,rank,11,11
10,Buzz Aldrin,rank,10,10
10,Aiden Turner,rank,9,9
10,Kate Gosselin,rank,8,8
10,Jake Pavelka,rank,7,7
10,Pamela Anderson,rank,6,6
10,Niecy Nash,rank,5,5
10,Chad Ochocinco,rank,4,4
10,Nicole Scherzinger,rank,1,1
10,Evan Lysacek,rank,1,2
10,Erin Andrews,rank,1,3
10,Shannen Doherty,percent,11,11
10,Buzz Aldrin,percent,10,10
10,Aiden Turner,percent,9,9
10,Kate Gosselin,percent,8,8
10,Jake Pavelka,percent,7,7
10,Pamela Anderson,percent,6,6
10,Niecy Nash,percent,5,5
10,Chad Ochocinco,percent,4,4
10,Nicole Scherzinger,percent,1,1
10,Evan Lysacek,percent,1,2
10,Erin Andrews,percent,1,3
11,David Hasselhoff,fair,12,12
11,Michael Bolton,fair,11,11
11,Margaret Cho,fair,10,10
11,The Situation,fair,9,9
11,Florence Henderson,fair,8,8
11,Audrina Patridge,fair,7,7
11,Rick Fox,fair,6,6
11,Kurt Warner,fair,5,5
11,Brandy,fair,4,4
11,Jennifer Grey,fair,1,1
11,Kyle Massey,fair,1,2
11,Bristol Palin,fair,1,3
11,David Hasselhoff,rank,12,12
11,Michael Bolton,rank,11,11
