alpha,beta,overlap,fan_align,judge_align,total_align
0.0,1.0,1.0,1.0,0.44015444015444016,1.4401544401544402
0.05,0.95,1.0,1.0,0.44015444015444016,1.4401544401544402
0.1,0.9,1.0,1.0,0.44015444015444016,1.4401544401544402
0.15000000000000002,0.85,1.0,1.0,0.44015444015444016,1.4401544401544402
0.2,0.8,1.0,1.0,0.44015444015444016,1.4401544401544402
0.25,0.75,1.0,1.0,0.44015444015444016,1.4401544401544402
0.30000000000000004,0.7,1.0,1.0,0.44015444015444016,1.4401544401544402
0.35000000000000003,0.6499999999999999,1.0,1.0,0.44015444015444016,1.4401544401544402
0.4,0.6,1.0,1.0,0.44015444015444016,1.4401544401544402
0.45,0.55,1.0,1.0,0.44015444015444016,1.4401544401544402
0.5,0.5,1.0,1.0,0.44015444015444016,1.4401544401544402
0.55,0.44999999999999996,1.0,1.0,0.44015444015444016,1.4401544401544402
0.6000000000000001,0.3999999999999999,1.0,1.0,0.44015444015444016,1.4401544401544402
0.65,0.35,1.0,1.0,0.44015444015444016,1.4401544401544402
0.7000000000000001,0.29999999999999993,0.9948519948519949,1.0,0.444015444015444,1.444015444015444
0.75,0.25,0.9922779922779923,1.0,0.444015444015444,1.444015444015444
0.8,0.19999999999999996,0.9781209781209783,0.9884169884169884,0.4555984555984556,1.444015444015444
0.8500000000000001,0.1499999999999999,0.9330759330759333,0.9498069498069498,0.49034749034749037,1.4401544401544402
0.9,0.09999999999999998,0.8211068211068213,0.8494208494208494,0.5984555984555985,1.4478764478764479
0.9500000000000001,0.04999999999999993,0.6254826254826252,0.6563706563706564,0.7915057915057915,1.4478764478764479
1.0,0.0,0.40540540540540515,0.4555984555984556,1.0,1.4555984555984556
