feature,coef_std_judge,coef_std_fan
celebrity_homestate_Alaska,-0.10082246937949577,0.0022314989238593763
ballroom_partner_Keo Motsepe,-0.104171517194767,-0.005142056154205468
celebrity_industry_Politician,-0.10883100317911928,-0.0008552875828851486
ballroom_partner_Jenna Johnson,-0.11106574450941203,-0.004604950738448068
celebrity_homecountry/region_South Africa,-0.11271320367806596,-0.0032833047557993766
celebrity_homestate_Kentucky,-0.11485356753027014,-0.000577956212302009
ballroom_partner_Edyta Sliwinska,-0.12310720585384785,-0.008625976980921535
celebrity_homestate_California,-0.12319939397235637,-0.002001186728374821
ballroom_partner_Chelsie Hightower,-0.12369556300383544,-0.010194855992993326
ballroom_partner_Lacey Schwimmer,-0.13305167321889105,-0.006997742876557685
ballroom_partner_Elena Grinenko,-0.13971882922826506,-0.005772446485359354
celebrity_industry_Athlete,-0.15199667234630682,-0.0031771750620225216
celebrity_homecountry/region_Italy,-0.16657588168100043,-0.003623607654105389
celebrity_homecountry/region_England,-0.1695923762137283,-0.0002902308148798594
ballroom_partner_Ashly DelGrosso,-0.17216443996183795,-0.001709476641549084
celebrity_industry_Model,-0.17541036374401842,-0.005467685901601868
celebrity_homecountry/region_Australia,-0.1860898501991935,-0.0007823596729373875
celebrity_industry_TV Personality,-0.22243067545691542,-0.007601669148786557
celebrity_homecountry/region_United States,-0.33462764434312964,-0.0031863480657973653
age,-0.575907916099436,-0.01583642331149905
