feature,coef_std_judge,coef_std_fan
intercept,7.899962312666184,0.12073966642494559
ballroom_partner_Derek Hough,0.18605200720091047,-0.003347319706326798
celebrity_homestate_Utah,0.1181525416624963,0.00639303943342816
celebrity_industry_Producer,0.0899155752733071,-0.00014663256730350523
ballroom_partner_Valentin Chmerkovskiy,0.07325172154317286,-0.006848722656764119
celebrity_homestate_Nebraska,0.0632119007626671,0.0006270541041961649
celebrity_homestate_Washington,0.06004408028443657,0.0011703660486846678
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.05452963299677337,0.0012902023219629561
celebrity_homestate_Louisiana,0.049391954603285826,0.005173229577660751
celebrity_homestate_Michigan,0.04818974680904087,3.3115377138803704e-05
ballroom_partner_Artem Chigvintsev,0.04442055679270587,-0.006995759942358858
ballroom_partner_Witney Carson,0.041347281255712326,-0.0038339026795807217
celebrity_homestate_Pennsylvania,0.038099634518322656,0.005424094926736756
celebrity_homestate_Georgia,0.03461449651223791,0.006731661264548104
ballroom_partner_Alan Bersten (Rashad Jennings week 9),0.03325974638691468,-8.111815947393908e-05
celebrity_industry_Musician,0.03167536773854343,0.0031410103664584474
celebrity_homestate_Connecticut,0.021530852790050813,0.0016905994767360119
celebrity_industry_Astronaut,0.020908673038265095,-0.0009195160760636732
ballroom_partner_Mark Ballas,0.020707952059130286,-0.012086607135240917
celebrity_homestate_West Virginia,0.019550221487312787,-0.000841952765174985
celebrity_homestate_Mississippi,0.018981151166346327,0.004189506000734912
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.017412781603893104,-0.000681536897990811
celebrity_industry_Conservationist,0.017412781603889746,-0.0006815368979908613
celebrity_homestate_Massachusetts,0.015764220760097578,0.002059562528429634
ballroom_partner_Sasha Farber,0.01556212715959645,-0.003277358075141305
ballroom_partner_Dmitry Chaplin,0.01505788196619283,-0.0047539489911105105
celebrity_homestate_Florida,0.012549208584504902,0.0006671846033238834
celebrity_homestate_Hawaii,0.01045067712075061,0.00012247523556307115
ballroom_partner_Damian Whitewood,0.009868719240353707,-0.002435240666821635
celebrity_homestate_Tennessee,0.008512824099738012,0.001696695960084215
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),0.006909433607175164,-0.0017737716417450611
celebrity_homestate_Maryland,0.005751869950367354,-0.0015136870666565259
ballroom_partner_Charlotte Jorgensen,0.0056431195713637205,0.0016940455489765373
celebrity_homestate_Virginia,0.005368494386707383,0.00016215644712272963
celebrity_industry_News Anchor,0.005179960341770453,0.0014615415475021263
celebrity_homecountry/region_Croatia,0.004871454293030354,0.0015790742660237165
celebrity_homestate_Maine,0.004002751552512108,0.002389863345628891
celebrity_homestate_Minnesota,0.0038306413650396887,-0.000672552299127078
ballroom_partner_Daniella Karagach,0.0029778315577447603,0.00035995424568508274
ballroom_partner_Val Chmerkovskiy,0.0008246871784415716,-0.0012638095111064218
celebrity_homestate_Nevada,-0.0006322656780401378,0.001009967642442515
celebrity_homecountry/region_Wales,-0.0011665587409058417,0.003050222241605932
celebrity_homecountry/region_New Zealand,-0.0017520867198030851,0.0017846289448088261
celebrity_homecountry/region_Brazil,-0.0025958049183727114,0.0019422310631382435
celebrity_homestate_Arkansas,-0.0031271985304512917,0.0025892099202523625
ballroom_partner_Corky Ballas,-0.0035541155869672422,-0.0017755060558839234
ballroom_partner_Tony Dovolani,-0.003766738423198964,-0.009860882075624657
celebrity_homestate_Colorado,-0.003958171090288287,0.0008242474085587426
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.004579655632200103,-0.0005851346820981585
celebrity_industry_Social media personality,-0.004579655632203805,-0.0005851346820982938
celebrity_industry_Racing Driver,-0.005458193176205231,-0.000921572697981944
celebrity_industry_Fitness Instructor,-0.0060276084684730835,0.0023270508529227413
ballroom_partner_Maksim Chmerkoskiy,-0.006209305325014278,-0.008378728478898258
celebrity_homecountry/region_Ireland,-0.00663574804429308,0.0012746610242124364
ballroom_partner_Pasha Pashkov,-0.008017701451094192,-0.003150460795035681
celebrity_homestate_Texas,-0.008853711711208523,0.0016507750793084007
ballroom_partner_Brandon Armstrong,-0.010367088314867837,-0.004084391028062972
ballroom_partner_Henry Byalikov,-0.01038641312312151,-0.0022425374250216344
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),-0.010871786546598195,0.002833173645472964
ballroom_partner_Nick Kosovich,-0.01165504532625454,-0.004939447907780355
celebrity_homecountry/region_France,-0.012225126384571128,-0.0008514492750444189
celebrity_homestate_Delaware,-0.012404194459361646,-0.0021004974614357973
