season,celebrity_name,rule,pred_elim_week,actual_placement
2,Jerry Rice,fair,,2
2,Jerry Rice,rank,,2
2,Jerry Rice,percent,,2
4,Billy Ray Cyrus,fair,8.0,5
4,Billy Ray Cyrus,rank,8.0,5
4,Billy Ray Cyrus,percent,8.0,5
11,Bristol Palin,fair,,3
11,Bristol Palin,rank,,3
11,Bristol Palin,percent,,3
27,Bobby Bones,fair,,1
27,Bobby Bones,rank,8.0,1
27,Bobby Bones,percent,,1
